k,inertia,silhouette,davies_bouldin,calinski_harabasz
2,12222.075592117044,0.27812832251182507,1.4400688044072083,989.7969334458905
3,10824.98028603542,0.20771313450558127,1.7065247374336459,701.0674452556722
4,9781.833386341606,0.1752903797151965,1.8169275213968041,595.4739155326225
5,9192.53974111135,0.1646188004516685,1.8511102196656026,510.390417662158
6,8631.136711597379,0.15983410725225375,1.777872594011327,463.3709112114224
7,8165.640504800891,0.15846605487953283,1.7559436440827512,428.92007215189926
8,7760.3788778272565,0.15809217042295465,1.6678877549912527,403.1119264004606
9,7462.271642203486,0.16260897319195886,1.6289748056973201,377.6481320500512
10,7211.875384032287,0.15719704418667088,1.6520362408146307,355.67944343383334
